Order Number,Customer Name,Customer Id,Province,CITY,Zip Code,Product Type,Gateway,Net Sales,Sum of Total Tax,Sum of Total Price Usd
3821,Isa Rosenstein,1,Washington,TACOMA,8,Running Shoes,shopify_payments,$507,50.713,557.843
2012,Doy Ivankin,1,Washington,SEATTLE,24,Running Shoes,shopify_payments,$580,57.993,637.923
5970,Wakefield Josefsson,1,Oklahoma,TULSA,26,Tennis Shoes,manual,$537,53.713,590.843
4378,Allard Karpenya,1,Florida,PANAMA CITY,28,Running Shoes,shopify_payments,$527,52.713,579.843
6020,Pandora Wilkie,1,Florida,VERO BEACH,35,Running Shoes,shopify_payments,$625,62.513,687.643
4240,Alexandr Moodycliffe,1,Pennsylvania,PITTSBURGH,36,Running Shoes,paypal,$713,71.313,784.443
7282,Rosie Mullen,1,Louisiana,BATON ROUGE,41,Running Shoes,shopify_payments,$527,52.713,579.843
5482,Roxana Gates,1,Texas,TEMPLE,49,Cycling Shoes,shopify_payments,$586,58.613,644.743
5537,Luther Boullin,1,Texas,EL PASO,50,Running Shoes,paypal,$518,51.753,569.283
4379,Lora Island,1,Louisiana,LAFAYETTE,52,Cycling Shoes,shopify_payments,$510,50.953,560.483
7262,Hallie Yeates,1,California,ORANGE,58,Walking Shoes,amazon_payments,$596,59.593,655.523
7365,Dollie Joost,1,Florida,MIAMI,58,Tennis Shoes,paypal,$791,79.113,870.243
303,Der Garham,1,California,SAN JOSE,60,Walking Shoes,paypal,$537,53.713,590.843
4546,Evanne Sacase,1,New Jersey,TRENTON,101,Running Shoes,shopify_payments,$486,48.553,534.083
1868,Nathan Meineking,1,Nevada,LAS VEGAS,117,Walking Shoes,gift_card,$527,52.713,579.843
2561,Sherie Priddie,1,Illinois,CHICAGO,121,Climbing Shoes,shopify_payments,$547,54.713,601.843
1961,Curtice Baldin,1,California,STOCKTON,128,Flip-Flops,gift_card,$510,50.953,560.483
733,Ross Bellee,1,Arkansas,NORTH LITTLE ROCK,165,Running Shoes,shopify_payments,$929,92.913,1022.043
5325,Fleurette Considine,1,Texas,ODESSA,168,Accessories,shopify_payments,$512,51.163,562.793
5326,Rea Revie,1,California,LOS ANGELES,175,Running Shoes,shopify_payments,$527,52.713,579.843
4135,Korney Bottlestone,1,Texas,EL PASO,202,Walking Shoes,amazon_payments,$567,56.713,623.843
499,Candace Guiver,1,Texas,COLLEGE STATION,213,Tennis Shoes,shopify_payments,$527,52.713,579.843
6051,Alexander Scala,1,Ohio,COLUMBUS,225,Walking Shoes,shopify_payments,$517,51.713,568.843
6002,Tiff Rushmare,1,Indiana,SOUTH BEND,234,Cycling Shoes,shopify_payments,$527,52.713,579.843
647,Matilda Cuttle,1,Minnesota,MINNEAPOLIS,248,Running Shoes,gift_card,$527,52.713,579.843
3209,Addi Wegenen,1,Texas,LUBBOCK,255,Walking Shoes,amazon_payments,$573,57.273,630.003
1587,Lon Madoc-Jones,1,Washington,OLYMPIA,278,Cycling Shoes,shopify_payments,$625,62.513,687.643
4543,Israel Stanning,1,Florida,SAINT PETERSBURG,281,Running Shoes,shopify_payments,$518,51.753,569.283
3873,Sashenka Mainland,1,Maryland,BALTIMORE,298,Tennis Shoes,gift_card,$624,62.393,686.323
6410,Eadie Armit,1,Pennsylvania,HARRISBURG,301,Tennis Shoes,shopify_payments,$532,53.193,585.123
3853,Clarice Trobey,1,Pennsylvania,PITTSBURGH,309,Running Shoes,shopify_payments,$894,89.353,982.883
7083,Midge Ullett,1,Texas,HOUSTON,317,Cycling Shoes,shopify_payments,$595,59.513,654.643
3432,See Drinkall,1,Florida,JACKSONVILLE,320,Cycling Shoes,shopify_payments,$495,49.513,544.643
3067,Marni Simmins,1,Wisconsin,MILWAUKEE,322,Tennis Shoes,gift_card,$548,54.793,602.723
973,Ebony Joost,1,California,SACRAMENTO,390,Tennis Shoes,paypal,$518,51.753,569.283
63,Alvera Stebbin,1,Florida,WEST PALM BEACH,393,Walking Shoes,amazon_payments,$578,57.833,636.163
441,Ranique Doxsey,1,Louisiana,SHREVEPORT,400,Running Shoes,shopify_payments,$556,55.613,611.743
3358,Ruthe Mc Kellen,1,Texas,FORT WORTH,400,Cycling Shoes,shopify_payments,$649,64.873,713.603
439,Fraser Finlason,1,Pennsylvania,PITTSBURGH,403,Running Shoes,shopify_payments,$635,63.513,698.643
